FID,BPUIC,BEZEICHNUN,GEMEINDENA,BFS_NUMMER,KANTONSKUE,E_WGS84,N_WGS84
668,8506254,"Andwil SG, St. Margreten",Gossau (SG),3443,SG,9.271132910000000,47.427135560000004
669,8531157,Flumserberg Arve (Talstation),Quarten,3295,SG,9.262121130000001,47.075837970000002
670,8574045,"Ennetbühl, Bernhalde/Lutert.",Nesslau,3360,SG,9.268933290000000,47.242493109999998
671,8506798,"Waldkirch, Dorf",Waldkirch,3444,SG,9.284098070000001,47.468034390000000
672,8579982,"Waldkirch, Gemeindehaus",Waldkirch,3444,SG,9.288286390000000,47.469820759999998
673,8530664,Mols (See),Quarten,3295,SG,9.277977099999999,47.113023159999997
674,8530841,Tannenboden (Sesselbahn Chrüz),Quarten,3295,SG,9.279955490000001,47.092369490000003
675,8589573,"St. Gallen, Friedhof Bruggen",St. Gallen,3203,SG,9.335612550000000,47.410278929999997
676,8574233,"Waldkirch, Obergrimm",Waldkirch,3444,SG,9.298870320000001,47.449984630000003
677,8517311,Mols Bommersteintunnel,Quarten,3295,SG,9.288116949999999,47.113544200000000
678,8589574,"St. Gallen, Gallusmarkt",St. Gallen,3203,SG,9.413413289999999,47.437513670000001
679,8578572,"Walenstadtberg, alte Post",Walenstadt,3298,SG,9.290823339999999,47.137298600000001
680,8589575,"St. Gallen, Uni/Gatterstrasse",St. Gallen,3203,SG,9.373522810000001,47.431584590000000
681,8583715,"Flumserberg, Oberberg",Flums,3292,SG,9.293947210000001,47.091622460000004
682,8509470,"Flumserberg Tannenheim, M.wald",Flums,3292,SG,9.297860190000000,47.090110590000002
683,8595383,"Walenstadt, Hafen",Walenstadt,3298,SG,9.303003349999999,47.126601749999999
684,8581774,"Abtwil SG, Säntispark",Gaiserwald,3442,SG,9.315019270000001,47.417488689999999
685,8581776,"Abtwil SG, Zentrumpark",Gaiserwald,3442,SG,9.317779390000000,47.422832860000000
686,8595381,"Walenstadt, Rathausplatz",Walenstadt,3298,SG,9.315003900000001,47.124085100000002
687,8578569,"Walenstadt, Schnabelweid",Walenstadt,3298,SG,9.316319050000001,47.126627890000002
688,8589576,"St. Gallen, Geltenwilenstrasse",St. Gallen,3203,SG,9.366162310000000,47.417987429999997
689,8588536,"Walenstadt, Zollacher",Walenstadt,3298,SG,9.320526259999999,47.122555210000002
690,8589908,"Abtwil SG, St. Josefen",Gaiserwald,3442,SG,9.331393650000001,47.423204470000002
691,8506396,Muolen,Muolen,3202,SG,9.337079989999999,47.517620000000001
692,8574230,"Engelburg, Jägerhaus",Gaiserwald,3442,SG,9.337166430000000,47.448651419999997
693,8589577,"St. Gallen, Goethestrasse",St. Gallen,3203,SG,9.385450929999999,47.439427469999998
694,8509652,"Flums, Alpenrösli",Flums,3292,SG,9.329791410000000,47.090039079999997
695,8579980,"Häggenschwil, Täschlihus",Häggenschwil,3201,SG,9.344038240000000,47.488321460000002
696,8506733,"Bernhardzell, Engi",Waldkirch,3444,SG,9.344352110000001,47.468937619999998
697,8589578,"St. Gallen, Gröblistrasse",St. Gallen,3203,SG,9.336041970000000,47.407824759999997
698,8588538,"Tscherlach, Dorf",Walenstadt,3298,SG,9.333812900000000,47.118063040000003
699,8584891,Tankstelle AVIA Wildhaus,Wildhaus-Alt St. Johann,3359,SG,9.337587160000000,47.200802099999997
700,8582012,"Tscherlach, Steibünt",Walenstadt,3298,SG,9.334935970000000,47.115534210000000
701,8574229,"Engelburg, Freihof",Gaiserwald,3442,SG,9.347714470000000,47.440632610000002
702,8530490,Gamplüt,Wildhaus-Alt St. Johann,3359,SG,9.343677400000001,47.213038580000003
703,8589579,"St. Gallen, Grütlistrasse",St. Gallen,3203,SG,9.402951970000000,47.435388709999998
704,8574237,"Engelburg, Chapf",Gaiserwald,3442,SG,9.352513130000000,47.445744380000001
705,8530487,Wildhaus Oberdorf (Bergstat.),Wildhaus-Alt St. Johann,3359,SG,9.345074920000000,47.192249590000003
706,8581480,"Flums, Kirchplatz",Flums,3292,SG,9.344859160000000,47.089574020000001
707,8589580,"St. Gallen, Guggeien",St. Gallen,3203,SG,9.405014780000000,47.446716690000002
708,8589581,"St. Gallen, Hagenbuch",St. Gallen,3203,SG,9.398691330000000,47.430233840000000
709,8506780,"Wildhaus, Dorf",Wildhaus-Alt St. Johann,3359,SG,9.350807250000001,47.203059279999998
710,8574776,"Flums, Bahnhof",Flums,3292,SG,9.347908739999999,47.096406510000001
711,8589582,"St. Gallen, Haggen",St. Gallen,3203,SG,9.337435970000000,47.406407350000002
712,8589583,"St. Gallen, Halden",St. Gallen,3203,SG,9.410932559999999,47.433192519999999
713,8589584,"St. Gallen, Harzbüchelstrasse",St. Gallen,3203,SG,9.400997439999999,47.437761090000002
714,8586770,36 PU Heim Flums,Flums,3292,SG,9.354206070000000,47.095408409999997
715,8589585,"St. Gallen, Heiligkreuz",St. Gallen,3203,SG,9.394841100000001,47.442354870000003
716,8574768,"Flumserberg Saxli, Stegen",Flums,3292,SG,9.358716230000001,47.081065359999997
717,8574769,"Flumserberg Saxli, Hof",Flums,3292,SG,9.360593039999999,47.077938770000003
718,8589586,"St. Gallen, Heimatstrasse",St. Gallen,3203,SG,9.388135070000001,47.437043060000001
719,8589587,"St. Gallen, Hölzli",St. Gallen,3203,SG,9.364867530000000,47.427995490000001
720,8589588,"St. Gallen, Hüttenwies",St. Gallen,3203,SG,9.403815059999999,47.444397899999998
721,8589589,"St. Gallen, Iddastrasse",St. Gallen,3203,SG,9.391258970000001,47.440867969999999
722,8589590,"St. Gallen, Industriestrasse",St. Gallen,3203,SG,9.301809410000001,47.404765210000001
723,8589591,"St. Gallen, Kirche St. Georgen",St. Gallen,3203,SG,9.382050860000000,47.416407749999998
724,8509674,"Schwendi i. W., Dorf",Mels,3293,SG,9.363268450000000,47.007216849999999
725,8574030,"Wildhaus, Bären",Wildhaus-Alt St. Johann,3359,SG,9.370854050000000,47.198846560000000
726,8573967,"Wittenbach, Grünau",Wittenbach,3204,SG,9.381755620000000,47.460973969999998
727,8589592,"St. Gallen,Klinik Stephanshorn",St. Gallen,3203,SG,9.410685340000001,47.443696119999998
728,8589593,"St. Gallen, Kräzern",St. Gallen,3203,SG,9.315981930000000,47.405696349999999
729,8589594,"St. Gallen, Krontal",St. Gallen,3203,SG,9.399232930000000,47.433058680000002
730,8506393,Wittenbach,Wittenbach,3204,SG,9.388539990000000,47.462850000000003
731,8589595,"St. Gallen, Lachen",St. Gallen,3203,SG,9.354952519999999,47.419577369999999
732,8589596,"St. Gallen, Lerchenfeld",St. Gallen,3203,SG,9.341896490000000,47.415150810000000
733,8589597,"St. Gallen, Lindenstrasse",St. Gallen,3203,SG,9.404327070000001,47.438154369999999
734,8589598,"St. Gallen, Melonenstrasse",St. Gallen,3203,SG,9.366843469999999,47.417031389999998
735,8574329,"Grabserberg, Höhi",Grabs,3273,SG,9.383246910000000,47.164654280000001
736,8589599,"St. Gallen, Moosweiher",St. Gallen,3203,SG,9.336868839999999,47.409457590000002
737,8589600,"St. Gallen, Mövenstrasse",St. Gallen,3203,SG,9.309311050000000,47.404796930000003
738,8589601,"St. Gallen, Mühlegg",St. Gallen,3203,SG,9.379684500000000,47.419488469999997
739,8589602,"St. Gallen, Nussbaumstrasse",St. Gallen,3203,SG,9.364055179999999,47.424230360000003
740,8589603,"St. Gallen, Obere Leimat",St. Gallen,3203,SG,9.378691470000000,47.435159659999997
